read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
9,batch03,24.75,19.0,1,4,3,5261,Myo16;Shcbp1,2
24,batch04,45.166666666666664,60.0,1,6,3,3708,Tnrc6c;Card14;Eif4a3,3
32,batch04,40.333333333333336,60.0,1,3,3,4715,Csmd1,1
293,batch01,60.0,60.0,2,2,2,1870,Mocos,1
311,batch03,50.44444444444444,60.0,1,9,3,4783,Gprc5a;Dusp16;Fam234b;Hebp1;Zxdc,5
355,batch01,52.42857142857143,60.0,1,7,2,4972,Ermard;Fam120b;Gm51425,3
371,batch03,42.22222222222222,60.0,3,9,3,4591,Rictor;Gm11725;Dab2;Fyb,4
468,batch01,53.888888888888886,60.0,1,9,4,6605,Gm10649;Nr3c2,2
475,batch01,60.0,60.0,1,6,2,4157,Hoxa9,1
504,batch04,52.833333333333336,60.0,1,6,3,3925,Epn2;Slc5a10;Crhr1,3
515,batch01,60.0,60.0,2,2,2,2794,Ighd;Tril,2
517,batch04,40.166666666666664,60.0,2,6,3,3263,Gm45745;5830408C22Rik,2
530,batch01,26.285714285714285,35.0,2,7,6,4542,Skint5;Csmd1;Gm7706;2610005L07Rik,4
619,batch02,34.22222222222222,52.0,3,9,5,4560,Trim24;D630045J12Rik,2
622,batch01,50.8,60.0,1,5,3,3236,Zcchc14;Foxc2;1700011L22Rik,3
632,batch04,55.25,60.0,1,4,2,3094,Prkn;Grm4,2
656,batch03,56.0,60.0,1,3,2,4050,Tyw3;Bcar3,2
661,batch03,60.0,60.0,2,2,2,2693,Sema5b;Setd5,2
675,batch01,43.0,53.0,2,6,2,4169,Trip12;Vps53;Fbxo36,3
865,batch04,50.75,60.0,1,4,2,3191,Fndc3b,1
903,batch03,36.5,49.5,2,6,3,2939,Il12b;Gm13166;Gm12153,3
919,batch01,24.0,6.0,2,8,4,4445,Gm21411;Gm16751;Zfp989;Zfp600,4
938,batch01,60.0,60.0,1,2,2,2236,Plbd1;Kcnj8,2
981,batch03,60.0,60.0,1,3,2,3161,Mgam2-ps;Tmem178b,2
1137,batch04,54.708333333333336,60.0,3,24,10,9464,Wnk1;Bmal2;Plxna4;Tead4;D6Wsu163e;Itpr2;Gm10069;Ano2;Sox5;Prkn,10
1184,batch01,33.2,38.0,3,5,4,2770,Cntn4,1
1196,batch03,40.333333333333336,60.0,2,3,3,2980,Farsa;Atg4a;Acsl1,3
1217,batch01,59.0,60.0,1,9,3,5813,Vat1l;Wwox;Crispld2;Cdh13,4
1277,batch01,46.666666666666664,60.0,2,3,3,4678,Aebp2;Gm14221,2
1302,batch04,60.0,60.0,1,6,4,3840,Klhl2;Cdh13,2
1304,batch03,41.0,41.0,1,2,2,2470,Sh3rf1,1
1330,batch04,60.0,60.0,2,5,2,3744,4930562C15Rik;Rock1,2
1348,batch03,55.833333333333336,60.0,1,6,4,4410,Calcr;Ppp1r9a,2
1399,batch04,36.714285714285715,60.0,2,7,3,3774,1700012C14Rik;Copg2,2
1420,batch04,30.0,33.0,1,10,6,6213,Gm21092,1
1447,batch04,59.6,60.0,1,5,2,3154,Aff4;Tefm,2
1476,batch04,53.25,60.0,2,4,2,3315,Rnf167,1
1489,batch04,44.666666666666664,60.0,1,3,3,2906,Zfhx3;Ces1g,2
1513,batch03,42.888888888888886,60.0,3,9,7,4526,Gm35572;Hhip;Ube4b;Nacc1;Ces2c,5
1607,batch04,60.0,60.0,1,3,2,2798,Ppm1e;Gpatch8,2
1645,batch03,41.166666666666664,56.5,1,6,4,4347,A530053G22Rik;Grid2,2
1679,batch01,48.05882352941177,60.0,1,17,2,6544,Zfp612;4930555F03Rik,2
1701,batch04,60.0,60.0,1,2,2,2413,Adamts18,1
1713,batch01,39.666666666666664,60.0,2,12,3,6311,Hnrnpa2b1;Gm10069;Cbx3,3
1772,batch04,14.4,6.0,3,5,4,2851,Gm34096;Cldn34d;B930018H19Rik,3
1805,batch04,53.0,60.0,2,6,2,3520,Gm49620,1
1827,batch04,60.0,60.0,1,2,2,2432,Unc5d;Nrg1,2
1974,batch01,55.42857142857143,60.0,1,7,4,3831,Stox2;Wwox;Galntl6;Pcm1,4
2010,batch04,48.666666666666664,60.0,2,6,2,4166,Sdad1;G3bp2,2
2046,batch01,58.142857142857146,60.0,1,14,2,7271,Gse1;Zcchc14;Irf8;Foxf1;Fendrr;Gm26815,6
2071,batch01,17.5,17.5,2,2,2,2064,Lrrc37a,1
2085,batch03,60.0,60.0,1,3,2,2937,Ndnf,1
2092,batch01,60.0,60.0,2,3,3,3019,Ndnf;Myo9a,2
2131,batch03,43.666666666666664,60.0,1,3,2,2936,Gm54515;Slco1a6,2
2134,batch01,56.75,60.0,1,4,2,3090,Gm35585;Fam241a;Prpf3,3
2144,batch04,52.25,60.0,4,4,4,2975,Lair1,1
2153,batch01,49.4,60.0,2,5,2,3318,Rps27a;Rtn4;Wdr4,3
2190,batch04,60.0,60.0,1,3,2,2901,Ndnf,1
2197,batch04,54.25,60.0,1,4,2,3176,Cep95;Ftsj3,2
2212,batch04,60.0,60.0,1,5,2,3180,Cdc42se2,1
2218,batch01,60.0,60.0,2,7,3,4731,Dbndd1;Spire2;Myh9,3
2227,batch04,52.388888888888886,60.0,1,18,3,6129,Sh3rf1;Palld,2
2273,batch04,60.0,60.0,1,4,2,3076,Shcbp1l;Rgl1,2
2371,batch04,40.111111111111114,60.0,1,9,5,4850,Nsd3;Chrnb3;Defb33,3
2398,batch01,60.0,60.0,2,7,2,3337,Mrpl47;Neo1,2
2421,batch01,49.8,60.0,3,5,4,2267,Slc30a5;Aff2;Nrg1,3
2429,batch04,60.0,60.0,1,3,2,2638,Wwox,1
2485,batch03,47.0625,60.0,3,16,4,5823,Gan;Plcg2;Fancd2;Frmd4a,4
2503,batch03,60.0,60.0,2,3,3,3397,Vrk2,1
2536,batch01,60.0,60.0,2,4,3,3745,Col4a1;Rtn4;Col4a2;Kat6a,4
2593,batch04,35.5,35.5,1,2,2,2044,Bcan,1
2599,batch04,50.166666666666664,60.0,2,6,3,3201,Atf7ip,1
2605,batch01,42.0,60.0,3,12,6,5820,Gm39185;Psd3;Gm33838,3
2640,batch04,41.333333333333336,53.0,2,3,3,2790,Alg14;Bcan,2
2657,batch01,49.0,60.0,2,3,3,2463,Luc7l2;Usp32,2
2668,batch01,55.0,60.0,2,8,3,3873,Emx1;Lpar3;Fgd5,3
2694,batch03,40.333333333333336,60.0,2,3,2,2580,Atg7;Vgll4,2
2741,batch01,60.0,60.0,1,2,2,2377,Atg7;Syn2,2
2745,batch02,52.666666666666664,60.0,1,3,3,2642,Vps54,1
2766,batch03,60.0,60.0,1,2,2,2356,St6galnac3,1
2771,batch04,43.0,60.0,3,7,3,4406,Gm36816;Riok2;Lix1,3
2788,batch04,60.0,60.0,1,2,2,2398,Vps54;Ehbp1,2
2835,batch04,41.75,53.0,1,4,2,2942,Rimklb;Srgap3,2
2838,batch03,45.35,60.0,2,20,3,8015,Rimklb;Gm44007;Mfap5;Gm14505,4
2947,batch03,46.0,60.0,1,4,2,2744,Tjp2,1
2988,batch04,56.75,60.0,1,4,2,3367,Car14;Bcan,2
3031,batch01,60.0,60.0,2,2,2,2137,Fermt2,1
3041,batch01,57.714285714285715,60.0,3,7,4,4278,Samd1;Il27ra;Faf1;Cacna1a,4
3112,batch01,48.625,60.0,3,8,5,3051,Gm10069;Gm44006,2
3132,batch04,32.833333333333336,34.5,3,6,4,3767,Tomm20;Srpk1;Ccdc7b,3
3145,batch01,47.25,60.0,1,4,2,2349,Fgfr1;Nsd3;Ccdc7a,3
3168,batch04,45.0,60.0,2,4,2,2465,Stmnd1;Atxn1,2
3173,batch04,60.0,60.0,2,5,2,2365,Elf1;Zfp957;Naa16;Fgd4,4
3278,batch04,60.0,60.0,1,2,2,2713,Adamts18,1
3294,batch04,60.0,60.0,1,8,3,4153,Ndnf;Antxr1;Tnip3,3
3295,batch04,45.25,60.0,3,4,4,2864,Dpp6;Tnip3,2
3311,batch04,40.875,54.0,2,8,3,3748,Zfp954;Gm11959;Vmn2r45,3
3337,batch03,56.5,60.0,1,10,3,5823,Lrp6;Mical3;Etv6;4933406J09Rik,4
3368,batch04,57.166666666666664,60.0,3,6,4,3511,Actr3b,1
3433,batch04,60.0,60.0,1,3,3,2839,Tenm3;Zmat4,2
3468,batch03,52.375,60.0,1,8,2,4309,Rel;Myh2,2
3470,batch01,60.0,60.0,1,2,2,2606,Nkx2-5,1
3495,batch01,56.166666666666664,60.0,2,6,2,4066,Arhgef11;Ano2,2
3501,batch03,60.0,60.0,2,3,3,2290,Gm42889;Tmx3,2
3537,batch03,60.0,60.0,2,3,2,3146,Slc39a11;Emp2,2
3583,batch04,60.0,60.0,1,4,2,3192,Lhx1;Acsl6;Lhx1os,3
3630,batch02,60.0,60.0,1,2,2,2068,Irag2,1
3670,batch03,50.75,60.0,1,8,4,4894,Slc10a7;Gm45431;Snx25;Lrp2bp,4
3746,batch04,53.5,60.0,1,6,4,3020,Mbd4;4930540M05Rik,2
3757,batch03,36.333333333333336,48.0,2,3,2,3273,Sdf2l1,1
3787,batch01,56.3125,60.0,4,16,5,7657,Skap2;Jazf1,2
3802,batch01,26.1,9.0,5,10,5,4191,Tom1l2;Chl1;Rp1,3
3906,batch01,58.4,60.0,1,10,4,5527,Psd3,1
3940,batch03,60.0,60.0,2,3,2,3003,Gm13844;Mkln1,2
3946,batch04,32.125,39.0,3,8,5,4150,Nlrp5-ps;Vmn2r44;Vmn2r-ps45;Dnajc15,4
3955,batch03,60.0,60.0,2,2,2,2132,Tnks1bp1,1
4051,batch01,50.0,60.0,3,6,4,3450,Eci2;Atp2b3,2
4112,batch02,60.0,60.0,1,2,2,2001,Ugp2,1
4116,batch04,60.0,60.0,1,6,3,4700,Agpat5;Gm31135;Stox2,3
4119,batch01,50.0,60.0,2,5,3,3301,Tox3;Sox14,2
4181,batch01,51.0,60.0,1,8,3,4071,Gse1;A330074K22Rik;Gm26815,3
4229,batch04,42.833333333333336,52.0,2,6,5,2862,Plcg2;Palld,2
4239,batch04,60.0,60.0,1,4,3,2735,Grin2a;Sec14l5;Atf7ip2,3
4240,batch04,58.4,60.0,2,5,3,2890,Gtpbp4-ps6;Gm14957;Sult2a7,3
4246,batch02,60.0,60.0,1,5,2,3281,Gm4131;Arhgef3,2
4266,batch01,60.0,60.0,1,4,2,2728,Fcgr2b;Nmnat2;Colgalt2,3
4328,batch04,48.77777777777778,60.0,1,9,3,3757,Unc5d,1
4359,batch04,56.75,60.0,2,8,3,4677,Hormad2;Jazf1;Mtmr3,3
4377,batch04,60.0,60.0,1,4,3,2941,Vat1l,1
4380,batch04,59.0,60.0,2,4,3,2756,Abhd6;Dffa,2
4392,batch04,50.714285714285715,60.0,2,7,3,4863,Hormad2;Mtmr3;Trim37,3
4468,batch02,40.333333333333336,60.0,1,3,2,2583,Neo1,1
4510,batch04,43.0625,60.0,1,16,2,5046,Or1a1;A930037H05Rik;Or1p1c,3
4514,batch03,60.0,60.0,1,4,2,3479,Stra6,1
4520,batch04,36.0,36.0,1,2,2,1993,Halr1,1
4650,batch04,48.666666666666664,60.0,1,3,2,2268,Tbxas1;Exoc4,2
4662,batch03,50.0,60.0,2,8,5,3539,A530053G22Rik;Vegfc;2810404M03Rik,3
4688,batch01,55.0,60.0,1,4,3,3595,Pard3;Tomm20;Psd3,3
4696,batch04,47.2,58.0,3,5,4,2660,Usp33,1
4715,batch02,60.0,60.0,1,3,2,2420,4930579F01Rik,1
4812,batch01,53.166666666666664,60.0,2,12,5,5703,Col23a1;Nrg1,2
4877,batch04,47.22222222222222,60.0,3,9,5,4724,Dennd5b;Tango6;Stk38l,3
4931,batch01,60.0,60.0,2,2,2,2119,Nsd3;Spred2,2
4941,batch04,45.25,60.0,2,4,2,3073,Creb3l2,1
5148,batch04,60.0,60.0,1,4,3,2847,Thrb;Galnt15,2
5156,batch04,52.75,60.0,1,4,2,2342,Ptpn4;Rgl1,2
5306,batch04,30.5,30.5,1,2,2,3245,Gm44542,1
5321,batch04,60.0,60.0,2,6,3,4270,C130046K22Rik;Nsf;Ern1;Tcam1,4
5355,batch04,60.0,60.0,1,2,2,2483,Kbtbd12;Gm20696,2
5400,batch04,50.583333333333336,60.0,1,12,3,5058,Myo16;Nrg1,2
5407,batch01,60.0,60.0,2,8,4,4254,2700099C18Rik;Nfat5;Zfhx3,3
5496,batch04,40.333333333333336,60.0,2,3,3,2121,Fndc1,1
5558,batch04,44.5,60.0,2,6,3,4247,Gpatch4;Lenep;Isg20l2,3
5562,batch03,40.333333333333336,60.0,1,3,2,2054,Galns;Cbfa2t3,2
5674,batch04,60.0,60.0,2,3,2,2190,Tiam2;Tanc2,2
5675,batch04,26.0,22.0,1,4,2,2911,Dynlt2a3;Dynlt2a1;Zfp960,3
5699,batch01,45.84615384615385,60.0,2,13,2,4464,Hrk;Fbxw8,2
5723,batch04,60.0,60.0,2,7,2,4194,Cecr2,1
5726,batch01,60.0,60.0,1,3,3,3426,Wwtr1,1
5738,batch01,60.0,60.0,1,3,2,2384,Gm48879;Ankrd55,2
5763,batch01,46.285714285714285,60.0,1,7,4,3203,Ift122;9130019P16Rik,2
5833,batch01,52.0,60.0,3,6,4,2996,Gm30329;Tfpi;Baz2b,3
5834,batch02,58.875,60.0,1,8,3,3871,Gm12216;Per1;Wsb1,3
5847,batch01,48.0,60.0,3,5,4,2586,E330012B07Rik;Ppfibp1;Prpf4b,3
5852,batch01,36.57142857142857,60.0,5,7,5,4484,Entrep1;A230083G16Rik;Gm33838,3
5917,batch04,60.0,60.0,2,6,2,3384,Rab8b;Dapk2;Dennd11,3
5943,batch01,50.0,60.0,2,6,3,3510,Skap2;Hoxa7,2
5961,batch04,60.0,60.0,1,6,2,4016,Natd1,1
6057,batch03,60.0,60.0,1,2,2,2811,Zfp319,1
6214,batch03,56.0,60.0,1,10,4,4394,Spop;Nploc4;Faap100;Plekhm1,4
6260,batch01,42.6,60.0,1,5,4,3171,Dera;Grid2,2
6268,batch04,30.5,30.5,2,2,2,2351,Eml6,1
6353,batch04,59.0,59.0,1,2,2,2488,Evi5l;Kat6a,2
6358,batch03,50.166666666666664,60.0,2,6,3,3584,Glra3;Wdr17;Gpm6a,3
6411,batch01,57.166666666666664,60.0,1,6,3,3215,Dennd5b;Usp5;Cd4;Bicd1,4
6432,batch04,48.2,60.0,1,5,3,3008,Btd;Msmb;Thrb,3
6460,batch01,60.0,60.0,2,6,3,3900,Eri1;Mfhas1;Gm35520;Cldn23,4
6484,batch03,56.23076923076923,60.0,3,13,6,5492,Nup62cl;Gm9946;Rnf212;Gm15046;Morc4,5
6486,batch01,60.0,60.0,1,2,2,2287,2810404M03Rik,1
6540,batch04,34.5,34.5,2,2,2,2049,Rnf220;Rps6ka2,2
6588,batch04,60.0,60.0,1,6,2,3391,Braf;Dera,2
6619,batch03,50.0,60.0,2,6,2,2743,Smim14;Ugdh;Gm43552,3
6630,batch01,50.5,60.0,3,18,7,7594,Gm16337;Wwox;Sox2ot;Pag1;Gm42209,5
6647,batch04,54.0,60.0,1,3,2,2920,Sowaha;Adamts2,2
6843,batch01,48.0,60.0,1,5,3,3522,Potefam3b;Csmd1;Psd3,3
6866,batch04,47.46153846153846,60.0,2,13,3,6153,Fabp12;C230057A21Rik;Stmn2,3
6899,batch01,51.0,60.0,1,4,2,2511,Lrrc37a;Eftud2;Kif18b,3
6918,batch03,40.0,60.0,2,3,3,2252,Nf1;Ksr1,2
6958,batch01,35.5,35.5,2,2,2,3582,Nop53,1
6965,batch01,52.0,60.0,2,5,3,2948,Smurf2;Marchf10;Pecam1;Serpine3,4
6971,batch01,51.6,60.0,2,5,4,3624,Mttp;Pip4k2a;Armc3,3
7053,batch04,60.0,60.0,2,6,3,2676,Castor1;Mtmr3;Plcg1;Pes1,4
7078,batch04,13.0,1.0,2,9,4,3456,Potefam3a;Dera;Sfrp1,3
7090,batch04,32.25,31.0,2,8,5,3901,Potefam3f;Speer4a,2
7109,batch03,52.2,60.0,2,10,4,4253,Erich1;Ski;Csmd1,3
7110,batch01,43.0,54.0,1,5,4,2710,Angpt2;Stox2,2
7118,batch02,37.5,43.0,2,4,4,2274,Psd3,1
7164,batch01,33.75,34.5,1,4,2,2234,Mcph1,1
7251,batch03,60.0,60.0,1,4,3,2556,Marchf1;Smim31,2
7305,batch04,60.0,60.0,1,4,3,2825,Pag1;Phc3,2
7389,batch01,60.0,60.0,2,3,3,2121,Tspan10,1
7532,batch04,41.833333333333336,60.0,2,6,2,3153,Aig1,1
7560,batch04,17.6,6.0,4,5,4,2860,6820431F20Rik;2610005L07Rik,2
7566,batch01,51.22222222222222,60.0,2,9,7,4306,Frmd4b;Aak1;Exoc6b;Alms1,4
7574,batch04,53.6,60.0,2,5,4,3284,Sipa1l2,1
7584,batch03,55.0,60.0,2,9,2,4487,Gramd1c;Tns3;Pkd1l1,3
7599,batch03,55.2,60.0,2,5,3,2367,Lyst;Prag1;Sh3rf1,3
7625,batch01,60.0,60.0,2,3,3,2144,Sh2d4b;Gm49797;Crebrf,3
7637,batch02,60.0,60.0,1,2,2,2064,Gm45740,1
7705,batch04,26.0,1.0,3,7,7,3069,Sh2d4a;Gm48166,2
7742,batch04,60.0,60.0,1,4,2,3056,Tnfsf13b;Adam24;Mtmr7,3
7811,batch04,44.285714285714285,60.0,2,7,4,2948,Dlc1,1
7964,batch01,45.333333333333336,60.0,1,3,2,3450,Hook3,1
8041,batch01,44.25,52.5,2,4,3,1996,Wwox,1
8066,batch04,49.142857142857146,60.0,3,7,3,3982,Gm16556,1
8100,batch04,55.75,60.0,1,4,2,2254,Dbt;Serpini1,2
8114,batch02,51.333333333333336,60.0,2,3,2,2007,Exoc4;Myo9a,2
8245,batch04,60.0,60.0,2,5,2,2712,Htra4,1
8252,batch03,60.0,60.0,1,2,2,1930,Ccl25;Gm31223,2
8281,batch01,59.0,60.0,1,5,2,2407,Ccdc91,1
8293,batch04,52.5,60.0,1,6,2,3605,Cuedc1;Gm15892;Mrps23,3
8308,batch01,49.90909090909091,60.0,2,11,4,4513,M6pr;Atf7ip,2
8342,batch01,50.166666666666664,60.0,1,6,2,3264,4931429L15Rik;Rab8b;Gm31374,3
8353,batch01,31.88888888888889,45.0,2,9,5,4127,Snx25;Potefam3a;Csmd1,3
8355,batch01,60.0,60.0,2,6,4,4389,Csmd1;Gm45901,2
8396,batch04,60.0,60.0,2,2,2,2001,Stbd1,1
8421,batch01,30.25,30.5,2,4,2,2246,Vmn2r-ps158;Adam9;Vmn2r63,3
8495,batch04,55.714285714285715,60.0,2,14,2,5638,Pogz;Creb3l2;Cgn;Trim24;Tuft1,5
8500,batch04,44.25,54.5,2,4,3,2148,Gipc1;Eps8,2
8512,batch04,50.666666666666664,60.0,1,3,2,2198,Marchf1,1
8515,batch04,60.0,60.0,1,4,3,4121,Kcmf1;Plekha5;Bhlhe41,3
8527,batch04,37.333333333333336,48.0,1,3,2,1898,Cyp4f16;Phf1;Cyp4f37,3
8569,batch01,60.0,60.0,2,7,2,5337,Mink1;Aak1,2
8589,batch01,54.0,60.0,1,12,3,6442,Trim37;Ypel2;Vezf1;Ppm1e,4
8655,batch04,38.5,46.5,4,4,4,1961,Gm31135;Sp140l2;Wls;Ric1,4
8664,batch04,51.111111111111114,60.0,1,9,5,5062,Znrf1;4921524J17Rik;Vps35;Gm26815,4
8706,batch01,52.875,60.0,1,8,2,3276,Zfhx3,1
8710,batch02,60.0,60.0,1,4,3,3135,Gm11033;Hydin,2
8713,batch01,46.5,60.0,2,10,5,5388,Gm45469;Ppp1r3b;Lsm6;Marchf1;Gm46069,5
8771,batch02,56.5,60.0,1,12,4,5435,1700030F04Rik;Syn2;Cxcl12;Rassf4,4
8801,batch03,60.0,60.0,1,3,2,2135,Phlpp2;Zfhx3,2
8854,batch01,57.75,60.0,1,8,2,4372,Ide;Actr1a;Pitx3;Fbxl15,4
9086,batch01,57.714285714285715,60.0,1,7,4,3640,Mrps31;Ikbkb;Gm45455;Gm45341;Slc20a2,5
9115,batch03,40.333333333333336,60.0,2,3,3,2421,Disc1;Cpne2,2
9197,batch04,60.0,60.0,1,2,2,1851,Epsti1;Kat6b,2
9238,batch04,60.0,60.0,1,6,2,3689,Ttc14;Usp13,2
9257,batch03,17.625,8.0,4,8,4,3555,Gm26782,1
9328,batch01,60.0,60.0,2,4,2,2321,Pals2,1
9346,batch04,57.142857142857146,60.0,2,7,3,3541,Nkd1;Pard3;Chchd6,3
9385,batch04,9.0,9.0,2,2,2,2173,Slc2a9;Gm26782,2
9388,batch02,60.0,60.0,2,2,2,2183,Gm44748,1
9411,batch03,41.857142857142854,50.0,2,7,3,2694,Nsd3;Tex15,2
9425,batch02,53.8,60.0,1,5,2,3757,Tlk2;Gm11639,2
9453,batch03,52.25,60.0,1,8,2,4499,Gm15475;Dysf,2
9472,batch04,60.0,60.0,2,5,2,3714,Cdh1;Eri3,2
9476,batch04,52.9,60.0,2,10,4,3876,Creb5;Gm45740,2
9540,batch04,25.333333333333332,10.0,2,3,2,1809,Dpp3;Tada3,2
9643,batch04,58.666666666666664,59.0,1,3,2,2004,Sorbs2,1
9648,batch04,46.3,60.0,1,10,6,5268,Iqcm;Sorbs2;Palld;Cdh13,4
9653,batch01,45.0,60.0,3,4,4,2092,Kif1b;Gm47189,2
9703,batch01,60.0,60.0,1,4,2,2654,Pdzrn3;Cntn4,2
9756,batch01,50.0,50.0,1,2,2,2130,B930018H19Rik,1
9790,batch02,60.0,60.0,2,2,2,1775,B3gnt2,1
9791,batch04,60.0,60.0,1,3,2,2173,Snd1,1
9821,batch04,30.5,30.5,1,2,2,1697,S100a10;Mttp,2
9880,batch03,53.6,60.0,2,5,2,3433,H1f3;Gm20696,2
9887,batch04,40.0,40.0,2,2,2,1863,Ppl;Gm26782,2
9934,batch01,53.833333333333336,60.0,1,12,3,4938,Ccdc7a,1
9994,batch03,42.333333333333336,60.0,2,3,2,2089,Nfkb1,1
10006,batch03,60.0,60.0,1,8,3,4336,Pcnx2;B930018H19Rik,2
10021,batch01,51.333333333333336,60.0,2,3,2,2971,Cpt1a;Csmd1,2
10037,batch04,60.0,60.0,1,6,2,3059,Gm43077,1
10054,batch04,42.42857142857143,59.0,2,7,3,2680,Nr2c2;Gm45216,2
10064,batch04,60.0,60.0,1,3,2,2516,Vegfc;Clcn3,2
10103,batch01,60.0,60.0,1,3,2,2222,Afg2a,1
10108,batch04,60.0,60.0,1,3,2,2158,Vangl2;Fcgr2b,2
10157,batch04,60.0,60.0,1,2,2,1882,Gm28308;Skap2,2
10185,batch03,34.5,43.0,3,6,4,3234,Clec2l,1
10198,batch04,60.0,60.0,2,6,2,3475,Erc2,1
10218,batch04,53.42857142857143,60.0,1,7,4,3227,Frem3;Otud4;Zfp827,3
10305,batch03,60.0,60.0,2,5,3,3122,Oxr1;Prdm10,2
10341,batch01,60.0,60.0,2,5,3,2597,Ighv1-39;Ngfr;Cep112,3
10346,batch02,44.8,60.0,1,5,3,2221,Vmn1r52,1
10392,batch01,44.666666666666664,60.0,2,6,3,3262,Gm45349;Leprotl1,2
10483,batch04,52.333333333333336,60.0,2,6,4,4063,Gm28308;Vmn2r31;Sspo,3
10563,batch04,53.4,60.0,1,5,2,2495,Gm15884;Ptpn6,2
10597,batch03,60.0,60.0,1,3,2,2838,Itgb1,1
10601,batch04,37.5,37.5,1,2,2,2004,Gm45708;Neto2,2
10611,batch01,58.714285714285715,60.0,2,7,4,3797,Gm14957;Srgap3;Il17rc,3
10619,batch02,60.0,60.0,1,4,2,2794,Fam234b;Slc15a5,2
10707,batch04,55.25,60.0,1,4,2,2762,Hoxa2;Gm28308,2
10729,batch04,60.0,60.0,2,3,3,2453,Trmt9b;Neil3;Brd4,3
10737,batch01,60.0,60.0,3,3,3,2026,Ncbp3;Chrdl1,2
10738,batch04,60.0,60.0,1,8,4,5784,Cmip;Itgb1,2
10751,batch03,51.8,60.0,1,5,3,3329,Smyd4;Ppm1e;Slc43a2;Ndel1,4
10768,batch02,60.0,60.0,1,2,2,1681,Foxp1,1
10808,batch02,60.0,60.0,2,3,2,2563,C1rb,1
10839,batch04,60.0,60.0,2,6,2,3864,Stac2;Rpl19,2
10850,batch04,46.57142857142857,60.0,2,7,5,3359,Arhgap10;Rnf122,2
10891,batch01,60.0,60.0,1,4,2,1777,Clstn3,1
10945,batch01,44.0,60.0,2,11,6,4168,Tyw1;Nsg1,2
10947,batch01,53.666666666666664,60.0,1,9,3,3512,Gse1;Nfat5;Gm56871,3
10966,batch04,47.5,60.0,1,4,2,2513,Galntl6,1
10968,batch01,49.8,60.0,2,5,5,3911,Cacna1a;Herpud1;Palm3,3
11048,batch01,44.0,60.0,1,3,2,1907,Lasp1;Msi2,2
11054,batch04,60.0,60.0,1,4,4,2759,Marchf1;Psd3,2
11084,batch04,54.4,60.0,1,5,2,2301,Nat1;Nat2;Psd3,3
11142,batch04,43.0,43.0,1,2,2,1981,Iqcm,1
11185,batch04,49.6,60.0,2,10,5,3788,Eefsec;Dysf,2
11220,batch01,43.875,60.0,2,8,5,4222,Adam5;Letm2;Nrg1,3
11224,batch01,60.0,60.0,1,4,2,2590,Gm56869;Dlc1;Efnb2;Gm44626,4
11245,batch04,60.0,60.0,1,3,2,2105,Gng12,1
11248,batch03,60.0,60.0,1,3,2,3382,Rnf43,1
11255,batch01,56.5,60.0,1,8,2,3150,Ufsp2;Snx25;Acsl1,3
11297,batch02,60.0,60.0,1,2,2,2226,Lasp1,1
11298,batch04,60.0,60.0,2,2,2,2063,Cfap92,1
11345,batch04,60.0,60.0,1,5,2,4723,Psmc5;Slc38a10,2
11362,batch03,60.0,60.0,1,3,3,2322,Tmtc1;Bcat1;4933406J09Rik,3
11426,batch01,46.0,60.0,3,6,5,3917,Agk;Cacna1c,2
11438,batch01,56.0,60.0,1,8,2,3833,Sfxn5;Tet3,2
11455,batch01,57.0,60.0,1,6,2,2580,Mylk3;Plekha2,2
11509,batch04,9.5,0.0,1,12,2,3876,Obox7;Obox1,2
11657,batch04,59.6,60.0,1,5,2,2692,Fkbp5;Wdr90;Anks1,3
11669,batch02,60.0,60.0,1,4,2,3052,Itpr2;E330012B07Rik,2
11684,batch02,60.0,60.0,2,5,3,2998,Dpp6;Kmt2c,2
11736,batch04,46.888888888888886,60.0,4,9,5,3949,Trpc3;Ccna2,2
11772,batch03,50.333333333333336,60.0,3,3,3,2182,Evi5;9330199G10Rik,2
11777,batch01,31.857142857142858,42.0,2,7,3,2651,Lair1;Zfp667;Eps8l1,3
11808,batch03,49.6,60.0,2,10,2,6441,Lmna;Gm37584;Mex3a;Smg5;Ip6k3,5
11811,batch04,57.0,60.0,2,7,4,3806,Irag2;Sox5;Scube2,3
11856,batch04,53.5,60.0,1,4,2,2281,Gm11986,1
11891,batch01,48.2,60.0,1,5,2,2805,Wdr17,1
11921,batch03,31.428571428571427,40.0,2,7,4,3883,Ezr;Dynlt1c;Tiam2;Sytl3,4
11927,batch04,58.0,60.0,2,6,2,3329,Scpep1os,1
11952,batch01,51.42857142857143,60.0,1,7,2,4088,Sorbs2os;Sorbs2,2
12122,batch01,60.0,60.0,1,3,3,1890,Atg7,1
12161,batch04,60.0,60.0,1,2,2,2162,Nrg1,1
12168,batch01,60.0,60.0,1,7,2,3769,Tex9;Prtg;Cadm1,3
12177,batch01,54.130434782608695,60.0,1,23,4,8932,Or3a1;Lrrc37;Lsm12,3
12206,batch01,47.4,60.0,3,15,3,5308,Scpep1;Msi2;Platr25;Scpep1os,4
12306,batch01,54.6,60.0,1,5,4,2464,Csmd1;Pet100,2
12338,batch04,57.57142857142857,60.0,2,7,2,2942,Strbp,1
