read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
1554923,batch04,57.285714285714285,60.0,2,7,2,1984,Prcc;Etv3l,2
1554930,batch01,57.333333333333336,60.0,1,6,3,1205,Gm3294;Snd1,2
1555093,batch03,19.083333333333332,1.0,3,12,4,3344,Usb1,1
1555239,batch04,59.0,60.0,2,5,4,1413,Shq1;Plekha5,2
1555255,batch03,24.666666666666668,11.0,1,3,2,686,Mgll,1
1555328,batch03,47.25,60.0,1,8,2,1908,Adora3;Tmigd3;Chil4,3
1555380,batch01,40.333333333333336,60.0,1,3,2,720,Lncpint,1
1555404,batch04,60.0,60.0,2,2,2,868,Wwox;Ddb1,2
1555425,batch04,55.166666666666664,60.0,1,6,2,1935,Grin2a,1
1555491,batch04,60.0,60.0,2,5,3,2134,Gm49735;Zbtb20;Tmem242;Synj2;Zdhhc14,5
1555505,batch01,46.75,60.0,2,4,3,1835,Gm56935;1700012C14Rik;Dctn6,3
1555595,batch01,54.0,60.0,1,4,2,1376,Hipk1,1
1555733,batch01,60.0,60.0,2,2,2,669,4921507P07Rik;Abcb11,2
1555835,batch04,50.0,60.0,2,6,3,1517,Camk1d;Commd1,2
1555843,batch04,39.4,49.0,2,5,3,1494,Nfe2l2,1
1555887,batch01,58.666666666666664,60.0,2,3,2,1298,Src,1
1555899,batch01,25.8,21.0,5,10,5,2740,Kcnmb2,1
1555913,batch03,60.0,60.0,2,2,2,1661,Pmm2;Dennd11,2
1555989,batch04,60.0,60.0,1,2,2,788,Mfhas1,1
1556014,batch03,60.0,60.0,1,2,2,709,Tbc1d9,1
1556187,batch01,15.666666666666666,8.0,2,3,2,1066,Cdk5rap1,1
1556211,batch04,54.0,54.0,2,2,2,546,Wdtc1,1
1556292,batch01,16.5,8.5,2,12,4,2546,Chl1,1
1556431,batch04,55.0,60.0,1,7,2,1795,Gbp2,1
1556469,batch01,0.2,0.0,1,5,2,1533,Obox1,1
1556665,batch01,60.0,60.0,2,2,2,641,Ubqln1;Fcgr2b,2
1556733,batch04,60.0,60.0,1,4,3,1267,Tm7sf3;Gm30524,2
1556760,batch04,47.5,47.5,2,2,2,500,Myof;Arhgef28,2
1556778,batch04,59.9,60.0,4,10,5,1977,Ppp1r14c;Clnk,2
1556902,batch01,60.0,60.0,2,4,2,1259,Aldh3b2;Ogdh;Acy3,3
1556928,batch03,59.8,60.0,2,5,3,1622,St6galnac3;4930519L02Rik,2
1557001,batch03,36.4,60.0,4,5,4,1652,Arhgap26;Tmem131,2
1557038,batch01,49.5,60.0,1,8,2,2105,Cpe,1
1557046,batch01,60.0,60.0,2,4,2,1591,Fgd5;Rrp12,2
1557054,batch04,60.0,60.0,1,4,2,1401,Rbsn;D630045J12Rik,2
1557059,batch01,60.0,60.0,2,3,2,1158,Mamdc2,1
1557131,batch03,44.0,60.0,2,5,4,1330,Psd3;Csgalnact1,2
